 PX    Xn;,    PY   ;,        PZ        ;, бви ;,
 10010000;, 11101111;,  0000000000000000;, 0000;,
 01001000;,         ;,  0000000000000000;, 0001;,
 00100100;,         ;,  0000000000000000;, 0010;,
 00010010;,         ;,  0000000000000000;, 0011;,
 00001001;,         ;,  0000000000000000;, 0100;,
         ;,         ;,  1110111100000000;,     ;,
         ;,         ;,  1110111100000000;,     ;,
 00000100;,         ;,  0111011110000000;, 0101;,
 00000010;,         ;,  0011101111000000;, 0110;,
 00000001;,         ;,  0001110111100000;, 0111;,
         ;,         ;,  1110111100000000;,     ;,
         ;,         ;, 10000110011100000;,     ;,
 00000000;,         ;, 01000011001110000;, 1000;,
