  PX    Xn;,     PY   ;,          PZ        ;, бви ;,
 100000110;, 101110000;,  000000000000000000;, 0000;,
 010000011;,          ;,  000000000000000000;, 0001;,
          ;,          ;,  101110000000000000;,     ;,
          ;,          ;,  101110000000000000;,     ;,
 001000001;,          ;,  010111000000000000;, 0010;,
          ;,          ;,  101110000000000000;,     ;,
          ;,          ;, 1000101000000000000;,     ;,
 000100000;,          ;, 0100010100000000000;, 0011;,
 000010000;,          ;, 0010001010000000000;, 0100;,
 000001000;,          ;, 0001000101000000000;, 0101;,
 000000100;,          ;, 0000100010100000000;, 0110;,
 000000010;,          ;, 0000010001010000000;, 0111;,
 000000001;,          ;, 0000001000101000000;, 1000;,
          ;,          ;,  101110000000000000;,     ;,
          ;,          ;,  101111000101000000;,     ;,
 000000000;,          ;,  010111100010100000;, 1001;,
