 PX    Xn;,    PY   ;,00;,        PZ        ;, СТШ ;, pf;,             Пояснения
 11101111;, 11111010;,00;,  0000000000000000;, 0000;,  0;,    Исходное состояние
         ;,         ;,11;,  0000011000000000;,     ;,   ;,                    -Y
         ;,         ;,11;,  0000011000000000;,     ;,   ;,Результат суммирования
 00111011;,         ;,11;,  1100000110000000;, 0010;,  1;,               Cдвиг 2
 00001110;,         ;,11;,  1111000001100000;, 0100;,  1;,               Cдвиг 2
         ;,         ;,11;,  0000011000000000;,     ;,   ;,                    -Y
         ;,         ;,11;,  1111011001100000;,     ;,   ;,Результат суммирования
 00000011;,         ;,11;,  1011110110011000;, 0110;,  1;,               Cдвиг 2
 00000000;,         ;,11;,  1110111101100110;, 1000;,  1;,               Cдвиг 2
         ;,         ;,00;,  1111101000000000;,     ;,   ;,                    +Y
         ;,         ;,00;,  1110100101100110;,     ;,   ;,Результат суммирования
